sk_cliente;id_cliente;nome_cliente;data_nascimento;perfil_risco;segmento;uf;cidade;renda_estimada;patrimonio_estimado;data_inicio_relacionamento;canal_origem;status_cliente;faixa_etaria
1;CLI_0000001;Cliente_1;2021-11-14;arrojado;private;MG;Cidade_0;38928.9450109504;963134.1626168092;2023-04-19;presencial;ativo;18-25
2;CLI_0000002;Cliente_2;2024-10-02;agressivo;varejo;BA;Cidade_1;95169.92978651277;82394.54035901584;2022-12-25;presencial;ativo;18-25
3;CLI_0000003;Cliente_3;2023-08-29;agressivo;varejo;RJ;Cidade_2;82379.17336426684;66826.41017709314;2024-02-12;presencial;ativo;18-25
4;CLI_0000004;Cliente_4;2022-12-29;moderado;private;SC;Cidade_3;60008.7678391797;17822.44550353971;2022-07-19;presencial;inativo;18-25
5;CLI_0000005;Cliente_5;2020-10-11;conservador;institucional;SP;Cidade_4;46375.71077430671;237385.6223448326;2021-08-03;telefone;ativo;18-25
6;CLI_0000006;Cliente_6;2020-10-11;agressivo;institucional;PR;Cidade_5;48014.103655183666;141958.3408278333;2020-02-05;app;ativo;18-25
7;CLI_0000007;Cliente_7;2020-04-16;moderado;private;SP;Cidade_6;22542.322833935228;34288.40154368001;2023-12-22;presencial;ativo;18-25
8;CLI_0000008;Cliente_8;2024-04-30;arrojado;institucional;RS;Cidade_7;91916.69492912744;200423.23534155588;2022-08-26;app;inativo;18-25
9;CLI_0000009;Cliente_9;2023-01-02;arrojado;institucional;DF;Cidade_8;48087.90741715434;149208.50197190413;2022-09-02;web;ativo;18-25
10;CLI_0000010;Cliente_10;2023-07-16;arrojado;institucional;PR;Cidade_9;12649.738822156529;166456.70084537024;2024-10-13;telefone;ativo;18-25
11;CLI_0000011;Cliente_11;2020-02-07;arrojado;private;RS;Cidade_10;13711.532723659162;1053938.424054778;2022-06-06;web;ativo;18-25
12;CLI_0000012;Cliente_12;2024-11-06;moderado;varejo;SC;Cidade_11;98881.45059268986;5806.0103669465625;2021-07-30;telefone;ativo;18-25
13;CLI_0000013;Cliente_13;2024-02-29;conservador;varejo;DF;Cidade_12;49135.891180163606;492955.31156726804;2021-09-12;presencial;ativo;18-25
14;CLI_0000014;Cliente_14;2021-01-22;moderado;varejo;SC;Cidade_13;25433.40833987115;368893.8204918781;2020-01-22;app;inativo;18-25
15;CLI_0000015;Cliente_15;2020-11-28;conservador;varejo;MG;Cidade_14;10357.405610683505;107345.92571803578;2020-08-11;telefone;ativo;18-25
16;CLI_0000016;Cliente_16;2020-11-30;arrojado;varejo;BA;Cidade_15;47108.12354008325;425636.2155386283;2020-03-20;web;ativo;18-25
17;CLI_0000017;Cliente_17;2021-07-09;agressivo;institucional;RS;Cidade_16;10186.068202356188;209143.96288263868;2021-03-20;web;ativo;18-25
18;CLI_0000018;Cliente_18;2022-08-16;agressivo;institucional;SC;Cidade_17;31759.673767463315;440284.8066061853;2020-04-28;app;ativo;18-25
